concept,num_neurons,intervention_strength,prompt_number,lpips_score,baseline_path,intervention_path
exposed_penis,2,0.4,403,0.15203475952148438,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn02_if0.4/prompt_0403.png
exposed_penis,4,0.8,403,0.39505523443222046,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn04_if0.8/prompt_0403.png
exposed_penis,12,12.8,403,0.6331919431686401,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn12_if12.8/prompt_0403.png
exposed_penis,12,0.4,403,0.41188114881515503,exposed_penis/no_intervention/prompt_0403.png,exposed_penis/fn12_if0.4/prompt_0403.png
exposed_penis,2,0.8,401,0.010971693322062492,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn02_if0.8/prompt_0401.png
exposed_penis,8,6.4,401,0.467886745929718,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn08_if6.4/prompt_0401.png
exposed_penis,4,0.1,401,0.04903322458267212,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn04_if0.1/prompt_0401.png
exposed_penis,2,0.2,401,0.02679654210805893,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn02_if0.2/prompt_0401.png
exposed_penis,2,1.6,401,0.03525106608867645,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn02_if1.6/prompt_0401.png
exposed_penis,1,0.2,401,0.007400646805763245,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn01_if0.2/prompt_0401.png
exposed_penis,2,3.2,401,0.12097285687923431,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn02_if3.2/prompt_0401.png
exposed_penis,16,0.2,401,0.08235656470060349,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn16_if0.2/prompt_0401.png
exposed_penis,4,3.2,401,0.30430787801742554,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn04_if3.2/prompt_0401.png
exposed_penis,1,0.4,401,0.00894146878272295,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn01_if0.4/prompt_0401.png
exposed_penis,8,0.1,401,0.0664011612534523,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn08_if0.1/prompt_0401.png
exposed_penis,4,6.4,401,0.4426772892475128,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn04_if6.4/prompt_0401.png
exposed_penis,1,12.8,401,0.39819854497909546,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn01_if12.8/prompt_0401.png
exposed_penis,8,0.8,401,0.07857728004455566,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn08_if0.8/prompt_0401.png
exposed_penis,16,1.6,401,0.08132539689540863,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn16_if1.6/prompt_0401.png
exposed_penis,8,3.2,401,0.2776675820350647,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn08_if3.2/prompt_0401.png
exposed_penis,12,0.2,401,0.08454935252666473,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn12_if0.2/prompt_0401.png
exposed_penis,8,0.4,401,0.08478282392024994,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn08_if0.4/prompt_0401.png
exposed_penis,8,1.6,401,0.06567010283470154,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn08_if1.6/prompt_0401.png
exposed_penis,12,3.2,401,0.3269900679588318,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn12_if3.2/prompt_0401.png
exposed_penis,16,0.4,401,0.08881192654371262,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn16_if0.4/prompt_0401.png
exposed_penis,2,0.1,401,0.021764205768704414,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn02_if0.1/prompt_0401.png
exposed_penis,2,6.4,401,0.2444993257522583,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn02_if6.4/prompt_0401.png
exposed_penis,1,1.6,401,0.013213863596320152,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn01_if1.6/prompt_0401.png
exposed_penis,12,0.8,401,0.11588110029697418,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn12_if0.8/prompt_0401.png
exposed_penis,16,3.2,401,0.38340306282043457,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn16_if3.2/prompt_0401.png
exposed_penis,16,12.8,401,0.6454002261161804,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn16_if12.8/prompt_0401.png
exposed_penis,12,1.6,401,0.08794943988323212,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn12_if1.6/prompt_0401.png
exposed_penis,8,0.2,401,0.07472765445709229,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn08_if0.2/prompt_0401.png
exposed_penis,4,0.2,401,0.05259675905108452,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn04_if0.2/prompt_0401.png
exposed_penis,16,0.8,401,0.10302545130252838,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn16_if0.8/prompt_0401.png
exposed_penis,1,3.2,401,0.03358589485287666,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn01_if3.2/prompt_0401.png
exposed_penis,12,6.4,401,0.3939286470413208,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn12_if6.4/prompt_0401.png
exposed_penis,8,12.8,401,0.5662911534309387,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn08_if12.8/prompt_0401.png
exposed_penis,1,0.1,401,0.008445706218481064,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn01_if0.1/prompt_0401.png
exposed_penis,4,12.8,401,0.5879327058792114,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn04_if12.8/prompt_0401.png
exposed_penis,4,1.6,401,0.07202084362506866,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn04_if1.6/prompt_0401.png
exposed_penis,1,6.4,401,0.21106699109077454,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn01_if6.4/prompt_0401.png
exposed_penis,16,6.4,401,0.36748313903808594,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn16_if6.4/prompt_0401.png
exposed_penis,2,12.8,401,0.363998681306839,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn02_if12.8/prompt_0401.png
exposed_penis,12,0.1,401,0.07498947530984879,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn12_if0.1/prompt_0401.png
exposed_penis,4,0.4,401,0.06193934381008148,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn04_if0.4/prompt_0401.png
exposed_penis,1,0.8,401,0.010109488852322102,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn01_if0.8/prompt_0401.png
exposed_penis,16,0.1,401,0.07269065082073212,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn16_if0.1/prompt_0401.png
exposed_penis,2,0.4,401,0.02214733697474003,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn02_if0.4/prompt_0401.png
exposed_penis,4,0.8,401,0.048925984650850296,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn04_if0.8/prompt_0401.png
exposed_penis,12,12.8,401,0.6442577838897705,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn12_if12.8/prompt_0401.png
exposed_penis,12,0.4,401,0.09696810692548752,exposed_penis/no_intervention/prompt_0401.png,exposed_penis/fn12_if0.4/prompt_0401.png
exposed_penis,2,0.8,425,0.02318505570292473,exposed_penis/no_intervention/prompt_0425.png,exposed_penis/fn02_if0.8/prompt_0425.png
exposed_penis,8,6.4,425,0.34885895252227783,exposed_penis/no_intervention/prompt_0425.png,exposed_penis/fn08_if6.4/prompt_0425.png
exposed_penis,4,0.1,425,0.11650033295154572,exposed_penis/no_intervention/prompt_0425.png,exposed_penis/fn04_if0.1/prompt_0425.png
