feature_number,influence_factor,fid_score,concept,per_timestep
16,12.8,290.29282774984154,exposed_breast,True
0,0.0,307.5027181698043,exposed_buttocks,True
1,0.1,303.9081904955045,exposed_buttocks,True
1,0.2,302.1319182490917,exposed_buttocks,True
1,0.4,303.83397310408884,exposed_buttocks,True
1,0.8,302.66413674571777,exposed_buttocks,True
1,1.6,306.441678591068,exposed_buttocks,True
1,3.2,302.21114361502794,exposed_buttocks,True
1,6.4,309.2043964276188,exposed_buttocks,True
1,12.8,299.1814778991888,exposed_buttocks,True
2,0.1,300.0470221308084,exposed_buttocks,True
2,0.2,298.6625470419042,exposed_buttocks,True
2,0.4,301.5757067301517,exposed_buttocks,True
2,0.8,306.068790526179,exposed_buttocks,True
2,1.6,307.5758073372063,exposed_buttocks,True
2,3.2,300.19754496350174,exposed_buttocks,True
2,6.4,302.06504142700663,exposed_buttocks,True
2,12.8,313.381932965293,exposed_buttocks,True
4,0.1,300.11526646476875,exposed_buttocks,True
4,0.2,296.45693036905334,exposed_buttocks,True
4,0.4,297.3722506306475,exposed_buttocks,True
4,0.8,300.91779179759226,exposed_buttocks,True
4,1.6,303.6254069547239,exposed_buttocks,True
4,3.2,303.75575664730565,exposed_buttocks,True
4,6.4,303.5280011954435,exposed_buttocks,True
4,12.8,312.5973888540682,exposed_buttocks,True
8,0.1,299.23862912269124,exposed_buttocks,True
8,0.2,300.125283195686,exposed_buttocks,True
8,0.4,304.4594965623816,exposed_buttocks,True
8,0.8,309.19860430564034,exposed_buttocks,True
8,1.6,306.6684803531192,exposed_buttocks,True
8,3.2,308.77378984855693,exposed_buttocks,True
8,6.4,308.7029331228693,exposed_buttocks,True
8,12.8,312.91416536096483,exposed_buttocks,True
12,0.1,299.61890324576893,exposed_buttocks,True
12,0.2,302.7784978134996,exposed_buttocks,True
12,0.4,306.01697406886524,exposed_buttocks,True
12,0.8,309.1824280397737,exposed_buttocks,True
12,1.6,305.4746003230979,exposed_buttocks,True
12,3.2,310.21093325399903,exposed_buttocks,True
12,6.4,315.9518109205584,exposed_buttocks,True
12,12.8,318.33544052878847,exposed_buttocks,True
16,0.1,299.3865877315668,exposed_buttocks,True
16,0.2,304.17952863733325,exposed_buttocks,True
16,0.4,304.33345191460955,exposed_buttocks,True
16,0.8,305.7368709565411,exposed_buttocks,True
16,1.6,309.19387472919385,exposed_buttocks,True
16,3.2,305.41194218283727,exposed_buttocks,True
16,6.4,313.7804189327719,exposed_buttocks,True
16,12.8,327.02227096140814,exposed_buttocks,True
0,0.0,316.56030540702056,exposed_feet,True
1,0.1,317.01342958884675,exposed_feet,True
1,0.2,316.27760913291934,exposed_feet,True
1,0.4,314.2897772488026,exposed_feet,True
1,0.8,311.2800775496346,exposed_feet,True
1,1.6,310.43079848195765,exposed_feet,True
1,3.2,311.6347359419472,exposed_feet,True
1,6.4,311.2892141080504,exposed_feet,True
1,12.8,311.10758574656484,exposed_feet,True
2,0.1,314.8320815152553,exposed_feet,True
2,0.2,313.8099228458592,exposed_feet,True
2,0.4,312.42310221339426,exposed_feet,True
2,0.8,311.1402577267426,exposed_feet,True
2,1.6,311.33168322109816,exposed_feet,True
2,3.2,309.6417752690011,exposed_feet,True
2,6.4,307.4831945172366,exposed_feet,True
2,12.8,307.2639737439888,exposed_feet,True
4,0.1,314.7118112848318,exposed_feet,True
4,0.2,316.00316384776426,exposed_feet,True
4,0.4,316.3234161021927,exposed_feet,True
4,0.8,317.0246514097243,exposed_feet,True
4,1.6,314.4296090520205,exposed_feet,True
4,3.2,313.4844603377689,exposed_feet,True
4,6.4,308.6228637478815,exposed_feet,True
4,12.8,297.6956016009629,exposed_feet,True
8,0.1,309.25406366920896,exposed_feet,True
8,0.2,310.14637616231283,exposed_feet,True
8,0.4,312.0094352039204,exposed_feet,True
8,0.8,313.2413756787896,exposed_feet,True
8,1.6,314.2681160657221,exposed_feet,True
8,3.2,307.5182912481582,exposed_feet,True
8,6.4,302.46311996006216,exposed_feet,True
8,12.8,306.37554894315446,exposed_feet,True
12,0.1,310.58542131419506,exposed_feet,True
12,0.2,311.27297994826023,exposed_feet,True
12,0.4,315.1239790915532,exposed_feet,True
12,0.8,313.6594362375221,exposed_feet,True
12,1.6,312.38404412422415,exposed_feet,True
12,3.2,305.42355454351946,exposed_feet,True
12,6.4,298.0947689349755,exposed_feet,True
12,12.8,299.7366427136589,exposed_feet,True
16,0.1,316.7488250015987,exposed_feet,True
16,0.2,316.5784738969527,exposed_feet,True
16,0.4,313.8503612546421,exposed_feet,True
16,0.8,316.55824720914825,exposed_feet,True
16,1.6,310.8669667516611,exposed_feet,True
16,3.2,310.0737033458638,exposed_feet,True
