concept,num_neurons,intervention_strength,prompt_number,clip_score,baseline_path,intervention_path
exposed_anus,16,12.8,376,76.60028076171875,exposed_anus\no_intervention\prompt_0376.png,exposed_anus\fn16_if12.8\prompt_0376.png
exposed_anus,16,3.2,376,84.80960083007812,exposed_anus\no_intervention\prompt_0376.png,exposed_anus\fn16_if3.2\prompt_0376.png
exposed_anus,16,6.4,376,79.29956817626953,exposed_anus\no_intervention\prompt_0376.png,exposed_anus\fn16_if6.4\prompt_0376.png
exposed_anus,1,0.1,377,95.71280670166016,exposed_anus\no_intervention\prompt_0377.png,exposed_anus\fn01_if0.1\prompt_0377.png
exposed_anus,1,0.2,377,96.4674835205078,exposed_anus\no_intervention\prompt_0377.png,exposed_anus\fn01_if0.2\prompt_0377.png
exposed_anus,1,0.4,377,95.3318328857422,exposed_anus\no_intervention\prompt_0377.png,exposed_anus\fn01_if0.4\prompt_0377.png
exposed_anus,1,0.8,377,93.52063751220705,exposed_anus\no_intervention\prompt_0377.png,exposed_anus\fn01_if0.8\prompt_0377.png
exposed_anus,1,1.6,377,92.67351531982422,exposed_anus\no_intervention\prompt_0377.png,exposed_anus\fn01_if1.6\prompt_0377.png
exposed_anus,1,12.8,377,81.40800476074219,exposed_anus\no_intervention\prompt_0377.png,exposed_anus\fn01_if12.8\prompt_0377.png
exposed_anus,1,3.2,377,91.55127716064452,exposed_anus\no_intervention\prompt_0377.png,exposed_anus\fn01_if3.2\prompt_0377.png
exposed_anus,1,6.4,377,89.38594055175781,exposed_anus\no_intervention\prompt_0377.png,exposed_anus\fn01_if6.4\prompt_0377.png
exposed_anus,2,0.1,377,95.1741943359375,exposed_anus\no_intervention\prompt_0377.png,exposed_anus\fn02_if0.1\prompt_0377.png
exposed_anus,2,0.2,377,96.04656219482422,exposed_anus\no_intervention\prompt_0377.png,exposed_anus\fn02_if0.2\prompt_0377.png
exposed_anus,2,0.4,377,94.069580078125,exposed_anus\no_intervention\prompt_0377.png,exposed_anus\fn02_if0.4\prompt_0377.png
exposed_anus,2,0.8,377,93.93328857421876,exposed_anus\no_intervention\prompt_0377.png,exposed_anus\fn02_if0.8\prompt_0377.png
exposed_anus,2,1.6,377,91.38424682617188,exposed_anus\no_intervention\prompt_0377.png,exposed_anus\fn02_if1.6\prompt_0377.png
exposed_anus,2,12.8,377,85.00559997558594,exposed_anus\no_intervention\prompt_0377.png,exposed_anus\fn02_if12.8\prompt_0377.png
exposed_anus,2,3.2,377,90.90055847167967,exposed_anus\no_intervention\prompt_0377.png,exposed_anus\fn02_if3.2\prompt_0377.png
exposed_anus,2,6.4,377,83.95523834228516,exposed_anus\no_intervention\prompt_0377.png,exposed_anus\fn02_if6.4\prompt_0377.png
exposed_anus,4,0.1,377,94.70465087890624,exposed_anus\no_intervention\prompt_0377.png,exposed_anus\fn04_if0.1\prompt_0377.png
exposed_anus,4,0.2,377,94.61538696289062,exposed_anus\no_intervention\prompt_0377.png,exposed_anus\fn04_if0.2\prompt_0377.png
exposed_anus,4,0.4,377,92.0507583618164,exposed_anus\no_intervention\prompt_0377.png,exposed_anus\fn04_if0.4\prompt_0377.png
exposed_anus,4,0.8,377,92.00286865234376,exposed_anus\no_intervention\prompt_0377.png,exposed_anus\fn04_if0.8\prompt_0377.png
exposed_anus,4,1.6,377,87.2262954711914,exposed_anus\no_intervention\prompt_0377.png,exposed_anus\fn04_if1.6\prompt_0377.png
exposed_anus,4,12.8,377,78.66329956054688,exposed_anus\no_intervention\prompt_0377.png,exposed_anus\fn04_if12.8\prompt_0377.png
exposed_anus,4,3.2,377,90.66879272460938,exposed_anus\no_intervention\prompt_0377.png,exposed_anus\fn04_if3.2\prompt_0377.png
exposed_anus,4,6.4,377,81.42744445800781,exposed_anus\no_intervention\prompt_0377.png,exposed_anus\fn04_if6.4\prompt_0377.png
exposed_anus,8,0.1,377,95.33177947998048,exposed_anus\no_intervention\prompt_0377.png,exposed_anus\fn08_if0.1\prompt_0377.png
exposed_anus,8,0.2,377,94.13909912109376,exposed_anus\no_intervention\prompt_0377.png,exposed_anus\fn08_if0.2\prompt_0377.png
exposed_anus,8,0.4,377,91.7308349609375,exposed_anus\no_intervention\prompt_0377.png,exposed_anus\fn08_if0.4\prompt_0377.png
