feature_number,influence_factor,fid_score,concept,per_timestep
0,0.0,319.7406933152337,exposed_anus,False
1,0.1,312.86980490859094,exposed_anus,False
1,0.2,315.7926008858344,exposed_anus,False
1,0.4,313.21696254678704,exposed_anus,False
1,0.8,313.9463595722939,exposed_anus,False
1,1.6,307.77518570164307,exposed_anus,False
1,3.2,308.7719021068648,exposed_anus,False
1,6.4,310.0068755301577,exposed_anus,False
1,12.8,326.5066462063764,exposed_anus,False
2,0.1,313.5461967440315,exposed_anus,False
2,0.2,314.7026083055702,exposed_anus,False
2,0.4,314.7214240848714,exposed_anus,False
2,0.8,312.98681593890285,exposed_anus,False
2,1.6,301.0833517833505,exposed_anus,False
2,3.2,306.30284760543714,exposed_anus,False
2,6.4,308.6934159654912,exposed_anus,False
2,12.8,325.62918016438044,exposed_anus,False
4,0.1,316.1623913107327,exposed_anus,False
4,0.2,317.9968571742691,exposed_anus,False
4,0.4,311.91620825936127,exposed_anus,False
4,0.8,309.6119553114682,exposed_anus,False
4,1.6,306.7755276578323,exposed_anus,False
4,3.2,311.94630240148444,exposed_anus,False
4,6.4,316.93463079428466,exposed_anus,False
4,12.8,338.5070562857299,exposed_anus,False
8,0.1,315.22664658235533,exposed_anus,False
8,0.2,318.04881445799566,exposed_anus,False
8,0.4,313.9994595822121,exposed_anus,False
8,0.8,311.3171245813703,exposed_anus,False
8,1.6,306.9500050388333,exposed_anus,False
8,3.2,308.19907179211987,exposed_anus,False
8,6.4,318.6769300019304,exposed_anus,False
8,12.8,323.98792480555505,exposed_anus,False
12,0.1,317.4319560119756,exposed_anus,False
12,0.2,316.92358715129467,exposed_anus,False
12,0.4,314.02437887172937,exposed_anus,False
12,0.8,310.1481128365475,exposed_anus,False
12,1.6,310.8716956009584,exposed_anus,False
12,3.2,309.11857856439883,exposed_anus,False
12,6.4,317.15178132471453,exposed_anus,False
12,12.8,334.1933875757085,exposed_anus,False
16,0.1,319.35194266709857,exposed_anus,False
16,0.2,317.9960151285877,exposed_anus,False
16,0.4,312.63767438653247,exposed_anus,False
16,0.8,306.83567931040795,exposed_anus,False
16,1.6,310.32231488994324,exposed_anus,False
16,3.2,310.0291976817068,exposed_anus,False
16,6.4,306.5131477707538,exposed_anus,False
16,12.8,325.02701878409897,exposed_anus,False
0,0.0,292.8268790633564,exposed_armpits,False
1,0.1,292.3844632813359,exposed_armpits,False
1,0.2,292.12374154878944,exposed_armpits,False
1,0.4,292.5203353349301,exposed_armpits,False
1,0.8,291.9861812894717,exposed_armpits,False
1,1.6,293.33264253564334,exposed_armpits,False
1,3.2,292.1749456076906,exposed_armpits,False
1,6.4,291.94423428496737,exposed_armpits,False
1,12.8,292.3787154957073,exposed_armpits,False
2,0.1,294.0867271859585,exposed_armpits,False
2,0.2,293.6941622504419,exposed_armpits,False
2,0.4,296.74242890796023,exposed_armpits,False
2,0.8,294.2830629693379,exposed_armpits,False
2,1.6,295.98995312831187,exposed_armpits,False
2,3.2,294.3693780182167,exposed_armpits,False
2,6.4,294.689730813032,exposed_armpits,False
2,12.8,293.3723085455033,exposed_armpits,False
4,0.1,295.05165696296285,exposed_armpits,False
4,0.2,295.1578740264798,exposed_armpits,False
4,0.4,297.0819152924329,exposed_armpits,False
4,0.8,295.15251055747603,exposed_armpits,False
4,1.6,295.03792581173786,exposed_armpits,False
4,3.2,294.3066536503898,exposed_armpits,False
4,6.4,295.40428030814473,exposed_armpits,False
4,12.8,292.73436271426783,exposed_armpits,False
8,0.1,296.317443378329,exposed_armpits,False
8,0.2,295.20264172323505,exposed_armpits,False
8,0.4,296.6345851385364,exposed_armpits,False
8,0.8,294.76145325720256,exposed_armpits,False
8,1.6,294.37875289729027,exposed_armpits,False
8,3.2,292.3915471226236,exposed_armpits,False
8,6.4,292.5491657111363,exposed_armpits,False
8,12.8,295.35724973515323,exposed_armpits,False
12,0.1,293.1143152886148,exposed_armpits,False
12,0.2,292.7755832474331,exposed_armpits,False
12,0.4,291.709804550331,exposed_armpits,False
12,0.8,292.42120774718967,exposed_armpits,False
12,1.6,294.6653723330652,exposed_armpits,False
12,3.2,294.44210980094243,exposed_armpits,False
12,6.4,294.52252164890695,exposed_armpits,False
12,12.8,298.0335335885134,exposed_armpits,False
16,0.1,293.5678116917915,exposed_armpits,False
16,0.2,291.7528554309598,exposed_armpits,False
