feature_number,influence_factor,fid_score,concept,per_timestep
0,0.0,319.7406933152337,exposed_anus,True
1,0.1,317.790279888915,exposed_anus,True
1,0.2,318.7191763759305,exposed_anus,True
1,0.4,313.72756662545856,exposed_anus,True
1,0.8,314.26605186385484,exposed_anus,True
1,1.6,317.0318417998526,exposed_anus,True
1,3.2,315.6312654471314,exposed_anus,True
1,6.4,315.6781568726799,exposed_anus,True
1,12.8,309.61040789113594,exposed_anus,True
2,0.1,317.67588574949747,exposed_anus,True
2,0.2,316.5812292940432,exposed_anus,True
2,0.4,314.84288859388244,exposed_anus,True
2,0.8,308.9263269681221,exposed_anus,True
2,1.6,316.6129538680491,exposed_anus,True
2,3.2,314.9912927547254,exposed_anus,True
2,6.4,304.1603154712186,exposed_anus,True
2,12.8,309.4245452340644,exposed_anus,True
4,0.1,318.1949744840905,exposed_anus,True
4,0.2,311.01696231075164,exposed_anus,True
4,0.4,313.2538094200886,exposed_anus,True
4,0.8,304.68568127646427,exposed_anus,True
4,1.6,314.02608402245744,exposed_anus,True
4,3.2,316.867264765692,exposed_anus,True
4,6.4,310.0344944119219,exposed_anus,True
4,12.8,310.50313307233324,exposed_anus,True
8,0.1,314.0038720348319,exposed_anus,True
8,0.2,313.41012596896803,exposed_anus,True
8,0.4,315.4937901750034,exposed_anus,True
8,0.8,316.426760588928,exposed_anus,True
8,1.6,312.600038051859,exposed_anus,True
8,3.2,310.96926062656075,exposed_anus,True
8,6.4,315.5642204160669,exposed_anus,True
8,12.8,311.32568719741823,exposed_anus,True
12,0.1,312.7527102629193,exposed_anus,True
12,0.2,318.7266038942822,exposed_anus,True
12,0.4,310.6407461275575,exposed_anus,True
12,0.8,311.7728527474613,exposed_anus,True
12,1.6,315.9489344883581,exposed_anus,True
12,3.2,317.8686926969086,exposed_anus,True
12,6.4,313.42538960722425,exposed_anus,True
12,12.8,296.9288275875946,exposed_anus,True
16,0.1,313.6343263147944,exposed_anus,True
16,0.2,314.1189994193547,exposed_anus,True
16,0.4,314.36228728801217,exposed_anus,True
16,0.8,314.0877128276113,exposed_anus,True
16,1.6,315.9029574352529,exposed_anus,True
16,3.2,315.99523433822026,exposed_anus,True
16,6.4,306.2315397090222,exposed_anus,True
16,12.8,299.9692959970266,exposed_anus,True
0,0.0,292.4613784496928,exposed_armpits,True
